userId,User_Type,Role,Area_of_Interest,Level_of_Expertise
3125,Blue,Architect,Cloud Computing,Beginner
3126,Red,Tester,Mobile Development,Intermediate
3127,Red,Architect,Mobile Development,Beginner
3128,Red,Tester,Web Development,Advanced
3129,Red,Tester,Machine Learning,Beginner
3130,Red,Analyst,Cloud Computing,Beginner
3131,Red,Tester,Web Development,Expert
3132,Red,Architect,Data Science,Intermediate
3133,Red,Tester,Web Development,Beginner
3134,Red,Analyst,Web Development,Beginner
3135,Red,Analyst,Machine Learning,Expert
3136,Red,Architect,Data Science,Expert
3137,Red,Manager,Web Development,Intermediate
3138,Red,Manager,Cloud Computing,Expert
3139,Red,Tester,Cloud Computing,Advanced
3140,Red,Developer,Mobile Development,Expert
3141,Red,Tester,Data Science,Advanced
3142,Red,Architect,Data Science,Intermediate
3143,Red,Architect,Mobile Development,Intermediate
3144,Red,Architect,Web Development,Intermediate
3145,Red,Architect,Data Science,Intermediate
3146,Blue,Architect,Cloud Computing,Intermediate
3147,Blue,Analyst,Cloud Computing,Advanced
3148,Blue,Manager,Machine Learning,Advanced
3149,Blue,Architect,Data Science,Intermediate
3150,Red,Developer,Web Development,Expert
3151,Red,Developer,Mobile Development,Beginner
3152,Red,Developer,Mobile Development,Intermediate
3153,Blue,Developer,Web Development,Expert
3154,Red,Analyst,Machine Learning,Beginner
3155,Red,Developer,Mobile Development,Intermediate
3156,Red,Architect,Data Science,Intermediate
3157,Red,Tester,Machine Learning,Advanced
3158,Red,Developer,Data Science,Beginner
3159,Red,Analyst,Cloud Computing,Beginner
3160,Red,Analyst,Machine Learning,Expert
3161,Red,Developer,Mobile Development,Advanced
3162,Red,Tester,Machine Learning,Advanced
3163,Red,Developer,Machine Learning,Advanced
3164,Blue,Analyst,Machine Learning,Advanced
3165,Red,Manager,Machine Learning,Beginner
3166,Red,Architect,Data Science,Beginner
3167,Red,Analyst,Cloud Computing,Intermediate
3168,Red,Developer,Web Development,Intermediate
3169,Red,Architect,Machine Learning,Advanced
3170,Blue,Developer,Mobile Development,Advanced
3171,Red,Developer,Machine Learning,Advanced
3172,Red,Manager,Mobile Development,Intermediate
3173,Red,Architect,Data Science,Expert
3174,Red,Architect,Mobile Development,Expert
3175,Red,Manager,Web Development,Intermediate
3176,Blue,Analyst,Cloud Computing,Intermediate
3177,Blue,Developer,Mobile Development,Intermediate
3178,Red,Tester,Mobile Development,Intermediate
3179,Red,Developer,Cloud Computing,Intermediate
3180,Red,Developer,Web Development,Intermediate
3181,Red,Analyst,Machine Learning,Advanced
3182,Red,Developer,Mobile Development,Advanced
3183,Red,Manager,Cloud Computing,Advanced
3184,Red,Manager,Data Science,Advanced
3185,Red,Architect,Cloud Computing,Intermediate
3186,Red,Tester,Data Science,Expert
3187,Blue,Developer,Web Development,Beginner
3188,Red,Developer,Machine Learning,Intermediate
3189,Red,Analyst,Cloud Computing,Beginner
3190,Red,Manager,Mobile Development,Expert
3191,Red,Tester,Web Development,Advanced
3192,Red,Architect,Cloud Computing,Expert
3193,Red,Manager,Mobile Development,Intermediate
3194,Red,Architect,Cloud Computing,Advanced
3195,Red,Analyst,Data Science,Intermediate
3196,Red,Analyst,Cloud Computing,Advanced
3197,Red,Developer,Cloud Computing,Beginner
3198,Red,Tester,Cloud Computing,Beginner
3199,Red,Architect,Web Development,Beginner
3200,Red,Manager,Cloud Computing,Expert
3201,Red,Analyst,Mobile Development,Intermediate
3202,Red,Developer,Data Science,Expert
3203,Red,Developer,Data Science,Beginner
3204,Red,Architect,Cloud Computing,Intermediate
3205,Red,Analyst,Web Development,Beginner
3206,Red,Tester,Web Development,Expert
3207,Red,Analyst,Mobile Development,Expert
3208,Red,Architect,Cloud Computing,Expert
3209,Red,Architect,Data Science,Beginner
3210,Blue,Analyst,Web Development,Intermediate
3211,Red,Architect,Cloud Computing,Intermediate
3212,Red,Analyst,Web Development,Beginner
3213,Red,Manager,Web Development,Intermediate
3214,Red,Analyst,Data Science,Beginner
3215,Red,Analyst,Machine Learning,Intermediate
3216,Red,Architect,Mobile Development,Advanced
3217,Red,Architect,Mobile Development,Advanced
3218,Red,Developer,Data Science,Expert
3219,Red,Developer,Web Development,Advanced
3220,Red,Manager,Cloud Computing,Advanced
3221,Red,Developer,Web Development,Advanced
3222,Red,Analyst,Data Science,Beginner
3223,Red,Architect,Mobile Development,Advanced
3224,Red,Developer,Web Development,Advanced
3225,Blue,Developer,Mobile Development,Expert
3226,Blue,Manager,Cloud Computing,Advanced
3227,Red,Manager,Mobile Development,Advanced
3228,Blue,Analyst,Mobile Development,Intermediate
3229,Red,Architect,Machine Learning,Expert
3230,Red,Manager,Machine Learning,Expert
3231,Red,Developer,Machine Learning,Expert
3232,Red,Architect,Mobile Development,Expert
3233,Red,Architect,Data Science,Expert
3234,Red,Developer,Mobile Development,Expert
3235,Red,Manager,Data Science,Beginner
3236,Red,Developer,Data Science,Advanced
3237,Red,Architect,Machine Learning,Expert
3238,Blue,Tester,Web Development,Advanced
3239,Red,Tester,Cloud Computing,Advanced
3240,Red,Analyst,Machine Learning,Beginner
3241,Red,Developer,Machine Learning,Expert
3242,Red,Developer,Web Development,Intermediate
3243,Blue,Analyst,Cloud Computing,Beginner
3244,Red,Analyst,Mobile Development,Intermediate
3245,Red,Analyst,Mobile Development,Advanced
3246,Red,Architect,Machine Learning,Advanced
3247,Red,Developer,Cloud Computing,Beginner
3248,Red,Architect,Machine Learning,Beginner
3249,Red,Analyst,Data Science,Intermediate
3250,Red,Developer,Machine Learning,Expert
3251,Blue,Architect,Machine Learning,Intermediate
3252,Red,Architect,Mobile Development,Beginner
3253,Red,Analyst,Mobile Development,Intermediate
3254,Red,Developer,Mobile Development,Beginner
3255,Red,Analyst,Data Science,Intermediate
3256,Red,Developer,Mobile Development,Beginner
3257,Red,Tester,Cloud Computing,Beginner
3258,Red,Manager,Web Development,Beginner
3259,Red,Manager,Cloud Computing,Expert
3260,Red,Manager,Cloud Computing,Intermediate
3261,Red,Analyst,Mobile Development,Intermediate
3262,Red,Tester,Web Development,Intermediate
3263,Red,Developer,Web Development,Beginner
3264,Blue,Architect,Web Development,Intermediate
3265,Red,Developer,Data Science,Intermediate
3266,Red,Architect,Mobile Development,Beginner
3267,Red,Developer,Web Development,Advanced
3268,Blue,Tester,Data Science,Beginner
3269,Red,Architect,Machine Learning,Intermediate
3270,Red,Analyst,Machine Learning,Beginner
3271,Red,Developer,Data Science,Advanced
3272,Red,Developer,Data Science,Beginner
3273,Blue,Architect,Mobile Development,Intermediate
3274,Red,Analyst,Mobile Development,Advanced
3275,Red,Analyst,Machine Learning,Expert
3276,Blue,Tester,Web Development,Intermediate
3277,Red,Analyst,Machine Learning,Advanced
3278,Blue,Analyst,Web Development,Advanced
3279,Red,Analyst,Web Development,Expert
3280,Red,Manager,Mobile Development,Beginner
3281,Red,Tester,Cloud Computing,Beginner
3282,Red,Developer,Cloud Computing,Intermediate
3283,Red,Architect,Data Science,Expert
3284,Red,Developer,Mobile Development,Beginner
3285,Red,Tester,Web Development,Expert
3286,Blue,Architect,Cloud Computing,Beginner
3287,Red,Tester,Web Development,Advanced
3288,Red,Analyst,Cloud Computing,Beginner
3289,Red,Architect,Cloud Computing,Expert
3290,Red,Analyst,Cloud Computing,Advanced
3291,Red,Developer,Mobile Development,Advanced
3292,Red,Developer,Machine Learning,Advanced
3293,Red,Architect,Web Development,Expert
3294,Blue,Architect,Mobile Development,Intermediate
3295,Red,Tester,Mobile Development,Intermediate
3296,Red,Tester,Mobile Development,Intermediate
3297,Red,Analyst,Mobile Development,Expert
3298,Blue,Architect,Mobile Development,Advanced
3299,Blue,Developer,Data Science,Intermediate
3300,Red,Tester,Web Development,Expert
